RunNumber,DataCategory,Date,TriggerNumbers,TriggerRates/Hz,RunType,TriggerType,LTBthrd:Nhit >,LTBthrd:Esum,LTBthrd:LowEsum,LTBthrd:HighEsum,PeriodFreq/ Hz,FEEthrd,FEEMaxHitPerCh,PMTHV,ACULEDfrequency/Hz,ACULED:NAME,LEDdriveVoltage/V,position/m,2ndLEDName,DoublePulseInterval/us,2ndLEDdriveVoltage/V,position/m,Comments,Description
1590,LED:pedestal,06/19/2010,20000,760,pedestal,period,~,~,~,~,~,0,5,2.00E+07,~,~,~,~,~,~,~,~,HV on; all cable connected,LED pedestal
1591,LED:test,06/19/2010,15000,250,Adcalib,Nhit,150,~,~,~,~,750,5,2.00E+07,500,ACU A,-7.2,2.92,~,~,~,~,HV on; all cable connected,LED test
1592,LED:test,06/19/2010,36000,605,Adcalib,Nhit,100,~,~,~,~,750,5,2.00E+07,500,ACU A,-7.2,2.92,~,~,~,~,HV on; all cable connected,LED test
1593,LED:test,06/19/2010,36000,605,Adcalib,Nhit,100,~,~,~,~,750,5,2.00E+07,500,ACU A,-7.3,2.92,~,~,~,~,HV on; all cable connected,LED test
1594,LED:test,06/19/2010,36000,605,Adcalib,Nhit,100,~,~,~,~,750,5,2.00E+07,500,ACU A,-7.4,2.92,~,~,~,~,HV on; all cable connected,LED test
1595,LED:test,06/19/2010,36000,605,Adcalib,Nhit,100,~,~,~,~,750,5,2.00E+07,500,ACU A,-7.8,2.92,~,~,~,~,HV on; all cable connected,LED test
1596,LED:test:error,06/19/2010,80000,1300,Adcalib,Nhit,100,~,~,~,~,750,5,2.00E+07,500,ACU A,-8.2,2.92,~,~,~,~,HV on; all cable connected,LED test; DAQ data pack error: FEE trigger number chenck error
1597,LED:test,06/19/2010,80000,1300,Adcalib,Nhit,100,~,~,~,~,750,5,2.00E+07,500,ACU A,-7.2,2.92,~,~,~,~,HV on; all cable connected,LED test;
1598,LED:test:error,06/19/2010,80000,1300,Adcalib,Nhit,100,~,~,~,~,750,5,2.00E+07,500,ACU A,-8.2,2.92,~,~,~,~,HV on; all cable connected,LED test; DAQ data pack error: FEE trigger number chenck error
1599,test,06/19/2010,?,?,Adcalib,Nhit,100,~,~,~,~,750,5,2.00E+07,500,ACU A,-8.2,2.92,~,~,~,~,HV on; all cable connected,LED test; DAQ data pack error: FEE trigger number chenck error
1600,test,06/19/2010,?,1240,Adcalib,Nhit,100,~,~,~,~,750,5,2.00E+07,500,ACU A,-8.2,2.92,~,~,~,~,HV on; all cable connected,LED test; DAQ data pack error: FEE trigger number chenck error
,,,,,,,,,,,,,,,,,,,,,,,,
1601,Esum: test,06/21/2010,200000,2200,physics,total Esum,~,10,~,~,~,750,5,2.00E+07,~,~,~,~,~,~,~,~,Total Esum threshold vs trigger rates,data recording: ACU motor power on
1602,Esum: test,06/21/2010,35762,530,physics,total Esum,~,50,~,~,~,750,5,2.00E+07,~,~,~,~,~,~,~,~,Total Esum threshold vs trigger rates,data recording: ACU motor power on
1603,Esum: test,06/21/2010,6800,100,physics,total Esum,~,100,~,~,~,750,5,2.00E+07,~,~,~,~,~,~,~,~,Total Esum threshold vs trigger rates,data recording: ACU motor power on
1604,Esum: test,06/21/2010,2000,30,physics,total Esum,~,150,~,~,~,750,5,2.00E+07,~,~,~,~,~,~,~,~,Total Esum threshold vs trigger rates,data recording: ACU motor power on
1605,Esum: test,06/21/2010,1600,13,physics,total Esum,~,200,~,~,~,750,5,2.00E+07,~,~,~,~,~,~,~,~,Total Esum threshold vs trigger rates,data recording: ACU motor power on
1606,Esum: test,06/21/2010,500,7,physics,total Esum,~,250,~,~,~,750,5,2.00E+07,~,~,~,~,~,~,~,~,Total Esum threshold vs trigger rates,data recording: ACU motor power on
1607,Esum: test,06/21/2010,100000,2000,physics,total Esum,~,20,~,~,~,750,5,2.00E+07,~,~,~,~,~,~,~,~,Total Esum threshold vs trigger rates,data recording: ACU motor power on
1608,Esum: test,06/21/2010,90000,1750,physics,total Esum,~,30,~,~,~,750,5,2.00E+07,~,~,~,~,~,~,~,~,Total Esum threshold vs trigger rates,data recording: ACU motor power on
1609,Esum: test,06/21/2010,62000,930,physics,total Esum,~,40,~,~,~,750,5,2.00E+07,~,~,~,~,~,~,~,~,Total Esum threshold vs trigger rates,data recording: ACU motor power on
1610,Esum: test,06/21/2010,60000,1250,physics,total Esum,~,35,~,~,~,750,5,2.00E+07,~,~,~,~,~,~,~,~,Total Esum threshold vs trigger rates,data recording: ACU motor power on
1611,Esum: test,06/21/2010,15000,240,physics,total Esum,~,70,~,~,~,750,5,2.00E+07,~,~,~,~,~,~,~,~,Total Esum threshold vs trigger rates,data recording: ACU motor power on
1612,Esum: test,06/21/2010,80000,1250,physics,total Esum,~,35,~,~,~,750,5,2.00E+07,~,~,~,~,~,~,~,~,Total Esum threshold vs trigger rates,data recording: ACU motor power off
