RunNumber,DataCategory,Date,TriggerNumbers,TriggerRates/Hz,RunType,TriggerType,LTBthrd:Nhit >,LTBthrd:Esum,LTBthrd:LowEsum,LTBthrd:HighEsum,PeriodFreq/ Hz,FEEthrd,FEEMaxHitPerCh,PMTHV,ACULEDfrequency/Hz,ACULED:NAME,LEDdriveVoltage/V,position/m,2ndLEDName,DoublePulseInterval/us,2ndLEDdriveVoltage/V,position/m,Comments,Description,,,,
5531,ACU B LED intensity scan / PMT gain calibration,9/21/10,15000,500,ADCalib,external,~,~,~,~,~,750,5,2.00E+07,500,ACU B,-7.8,0,~,~,~,0,,Intensity scan,,,,"not the defualt HV for 2e7 from DGUT, just around 2e3"
5532,ACU B LED intensity scan / PMT gain calibration,9/21/10,15000,500,ADCalib,external,~,~,~,~,~,750,5,2.00E+07,500,ACU B,-7.9,0,~,~,~,0,,Intensity scan,,,,"not the defualt HV for 2e7 from DGUT, just around 2e2"
5533,ACU B LED intensity scan / PMT gain calibration,9/21/10,15000,500,ADCalib,external,~,~,~,~,~,750,5,2.00E+07,500,ACU B,-8,0,~,~,~,0,,Intensity scan,,,,"not the defualt HV for 2e7 from DGUT, just around 2e1"
5534,ACU B LED intensity scan / PMT gain calibration,9/21/10,15000,500,ADCalib,external,~,~,~,~,~,750,5,2.00E+07,500,ACU B,-8.2,0,~,~,~,0,,Intensity scan,,,,"not the defualt HV for 2e7 from DGUT, just around 2e0"
5535,ACU B LED intensity scan / PMT gain calibration,9/21/10,15000,500,ADCalib,external,~,~,~,~,~,750,5,2.00E+07,500,ACU B,-8.4,0,~,~,~,0,,Intensity scan,,,,"not the defualt HV for 2e7 from DGUT, just around 2e1"
5536,ACU B LED intensity scan / PMT gain calibration,9/21/10,15000,500,ADCalib,external,~,~,~,~,~,750,5,2.00E+07,500,ACU B,-8.6,0,~,~,~,0,,Intensity scan,,,,"not the defualt HV for 2e7 from DGUT, just around 2e2"
5537,ACU B LED intensity scan / PMT gain calibration,9/21/10,15000,500,ADCalib,external,~,~,~,~,~,750,5,2.00E+07,500,ACU B,-8.8,0,~,~,~,0,,Intensity scan,,,,"not the defualt HV for 2e7 from DGUT, just around 2e3"
5538,ACU B LED intensity scan / PMT gain calibration,9/21/10,15000,500,ADCalib,external,~,~,~,~,~,750,5,2.00E+07,500,ACU B,-9,0,~,~,~,0,,Intensity scan,,,,"not the defualt HV for 2e7 from DGUT, just around 2e4"
5539,ACU B LED intensity scan / PMT gain calibration,9/21/10,15000,500,ADCalib,external,~,~,~,~,~,750,5,2.00E+07,500,ACU B,-9.25,0,~,~,~,0,,Intensity scan,,,,"not the defualt HV for 2e7 from DGUT, just around 2e5"
5540,ACU B LED intensity scan / PMT gain calibration,9/21/10,15000,500,ADCalib,external,~,~,~,~,~,750,5,2.00E+07,500,ACU B,-9.5,0,~,~,~,0,,Intensity scan,,,,"not the defualt HV for 2e7 from DGUT, just around 2e6"
5541,ACU B LED intensity scan / PMT gain calibration,9/21/10,15000,500,ADCalib,external,~,~,~,~,~,750,5,2.00E+07,500,ACU B,-9.8,0,~,~,~,0,,Intensity scan,,,,"not the defualt HV for 2e7 from DGUT, just around 2e7"
5542,ACU B LED intensity scan / PMT gain calibration,9/21/10,150000,500,ADCalib,external,~,~,~,~,~,750,5,1.00E+07,500,ACU B,-6.8,0,~,~,~,0,,Intensity scan at gain=1e7,,,,
5543,ACU B LED intensity scan / PMT gain calibration,9/21/10,150000,500,ADCalib,external,~,~,~,~,~,750,5,1.00E+07,500,ACU B,-6.85,0,~,~,~,0,,Intensity scan at gain=1e7,,,,
5544,ACU B LED intensity scan / PMT gain calibration,9/21/10,150000,500,ADCalib,external,~,~,~,~,~,750,5,1.00E+07,500,ACU B,-6.9,0,~,~,~,0,,Intensity scan at gain=1e7,,,,
5545,ACU B LED intensity scan / PMT gain calibration,9/21/10,150000,500,ADCalib,external,~,~,~,~,~,750,5,1.00E+07,500,ACU B,-6.95,0,~,~,~,0,,Intensity scan at gain=1e7,,,,
5546,ACU B LED intensity scan / PMT gain calibration,9/21/10,150000,500,ADCalib,external,~,~,~,~,~,750,5,1.00E+07,500,ACU B,-7,0,~,~,~,0,,Intensity scan at gain=1e7,,,,
5547,ACU B LED intensity scan / PMT gain calibration,9/21/10,30000,500,ADCalib,external,~,~,~,~,~,750,5,1.00E+07,500,ACU B,-7.05,0,~,~,~,0,,Intensity scan at gain=1e7,,,,
5548,ACU B LED intensity scan / PMT gain calibration,9/21/10,30000,500,ADCalib,external,~,~,~,~,~,750,5,1.00E+07,500,ACU B,-7.1,0,~,~,~,0,,Intensity scan at gain=1e7,,,,
5549,ACU B LED intensity scan / PMT gain calibration,9/21/10,30000,500,ADCalib,external,~,~,~,~,~,750,5,1.00E+07,500,ACU B,-7.15,0,~,~,~,0,,Intensity scan at gain=1e7,,,,
5550,ACU B LED intensity scan / PMT gain calibration,9/21/10,30000,500,ADCalib,external,~,~,~,~,~,750,5,1.00E+07,500,ACU B,-7.2,0,~,~,~,0,,Intensity scan at gain=1e7,,,,
5551,ACU B LED intensity scan / PMT gain calibration,9/21/10,30000,500,ADCalib,external,~,~,~,~,~,750,5,1.00E+07,500,ACU B,-7.25,0,~,~,~,0,,Intensity scan at gain=1e7,,,,
5552,ACU B LED intensity scan / PMT gain calibration,9/21/10,30000,500,ADCalib,external,~,~,~,~,~,750,5,1.00E+07,500,ACU B,-7.3,0,~,~,~,0,,Intensity scan at gain=1e7,,,,
5553,ACU B LED intensity scan / PMT gain calibration,9/21/10,30000,500,ADCalib,external,~,~,~,~,~,750,5,1.00E+07,500,ACU B,-7.35,0,~,~,~,0,,Intensity scan at gain=1e7,,,,
5554,ACU B LED intensity scan / PMT gain calibration,9/21/10,30000,500,ADCalib,external,~,~,~,~,~,750,5,1.00E+07,500,ACU B,-7.4,0,~,~,~,0,,Intensity scan at gain=1e7,,,,
5555,ACU B LED intensity scan / PMT gain calibration,9/21/10,30000,500,ADCalib,external,~,~,~,~,~,750,5,1.00E+07,500,ACU B,-7.45,0,~,~,~,0,,Intensity scan at gain=1e7,,,,
5556,ACU B LED intensity scan / PMT gain calibration,9/21/10,30000,500,ADCalib,external,~,~,~,~,~,750,5,1.00E+07,500,ACU B,-7.5,0,~,~,~,0,,Intensity scan at gain=1e7,,,,
5557,ACU B LED intensity scan / PMT gain calibration,9/21/10,15000,500,ADCalib,external,~,~,~,~,~,750,5,1.00E+07,500,ACU B,-7.6,0,~,~,~,0,,Intensity scan at gain=1e7,,,,
5558,ACU B LED intensity scan / PMT gain calibration,9/21/10,15000,500,ADCalib,external,~,~,~,~,~,750,5,1.00E+07,500,ACU B,-7.7,0,~,~,~,0,,Intensity scan at gain=1e7,,,,
5559,ACU B LED intensity scan / PMT gain calibration,9/21/10,15000,500,ADCalib,external,~,~,~,~,~,750,5,1.00E+07,500,ACU B,-7.8,0,~,~,~,0,,Intensity scan at gain=1e7,,,,
5560,ACU B LED intensity scan / PMT gain calibration,9/21/10,15000,500,ADCalib,external,~,~,~,~,~,750,5,1.00E+07,500,ACU B,-7.9,0,~,~,~,0,,Intensity scan at gain=1e7,,,,
5561,ACU B LED intensity scan / PMT gain calibration,9/21/10,15000,500,ADCalib,external,~,~,~,~,~,750,5,1.00E+07,500,ACU B,-8,0,~,~,~,0,,Intensity scan at gain=1e7,,,,
5562,ACU B LED intensity scan / PMT gain calibration,9/21/10,15000,500,ADCalib,external,~,~,~,~,~,750,5,1.00E+07,500,ACU B,-8.2,0,~,~,~,0,,Intensity scan at gain=1e7,,,,
5563,ACU B LED intensity scan / PMT gain calibration,9/21/10,15000,500,ADCalib,external,~,~,~,~,~,750,5,1.00E+07,500,ACU B,-8.4,0,~,~,~,0,,Intensity scan at gain=1e7,,,,
5564,ACU B LED intensity scan / PMT gain calibration,9/21/10,15000,500,ADCalib,external,~,~,~,~,~,750,5,1.00E+07,500,ACU B,-8.6,0,~,~,~,0,,Intensity scan at gain=1e7,,,,
5565,ACU B LED intensity scan / PMT gain calibration,9/21/10,15000,500,ADCalib,external,~,~,~,~,~,750,5,1.00E+07,500,ACU B,-8.8,0,~,~,~,0,,Intensity scan at gain=1e7,,,,
5566,ACU B LED intensity scan / PMT gain calibration,9/21/10,15000,500,ADCalib,external,~,~,~,~,~,750,5,1.00E+07,500,ACU B,-9,0,~,~,~,0,,Intensity scan at gain=1e7,,,,
5567,ACU B LED intensity scan / PMT gain calibration,9/21/10,15000,500,ADCalib,external,~,~,~,~,~,750,5,1.00E+07,500,ACU B,-9.25,0,~,~,~,0,,Intensity scan at gain=1e7,,,,
5568,ACU B LED intensity scan / PMT gain calibration,9/21/10,15000,500,ADCalib,external,~,~,~,~,~,750,5,1.00E+07,500,ACU B,-9.5,0,~,~,~,0,,Intensity scan at gain=1e7,,,,
5569,ACU B LED intensity scan / PMT gain calibration,9/21/10,15000,500,ADCalib,external,~,~,~,~,~,750,5,1.00E+07,500,ACU B,-9.8,0,~,~,~,0,,Intensity scan at gain=1e7,,,,
