RunNumber,DataCategory,Date,TriggerNumbers,TriggerRates/Hz,RunType,TriggerType,LTBthrd:Nhit >,LTBthrd:Esum,LTBthrd:LowEsum,LTBthrd:HighEsum,PeriodFreq/ Hz,FEEthrd,FEEMaxHitPerCh,PMTHV,ACULEDfrequency/Hz,ACULED:NAME,LEDdriveVoltage/V,position/m,2ndLEDName,DoublePulseInterval/us,2ndLEDdriveVoltage/V,position/m,Comments,Description,,
6671,system test,11/08/2010,,800,FEEdiag,manual,~,~,~,~,~,750,5,2.00E+07,~,~,~,~,~,~,~,~,FADC readout scale=0x1,,"just stop, then start",
6672,system test,11/08/2010,,800,FEEdiag,manual,~,~,~,~,~,750,5,2.00E+07,~,~,~,~,~,~,~,~,FADC readout scale=0x1,,"after unconfig, config, then start",
6673,system test,11/08/2010,,800,FEEdiag,manual,~,~,~,~,~,750,5,2.00E+07,~,~,~,~,~,~,~,~,FADC readout scale=0x1,,"after unconfig, config, then start",
6674,system test,11/08/2010,,800,FEEdiag,manual,~,~,~,~,~,750,5,2.00E+07,~,~,~,~,~,~,~,~,FADC readout scale=0x1,,"after unconfig, config, then start",
6675,system test,11/08/2010,,1200,physics,Nhit,40,~,~,~,~,750,5,2.00E+07,~,~,~,~,~,~,~,~,FADC readout scale=0x1,,"after unconfig, config, then start",
6676,system test,11/08/2010,,1200,physics,Nhit,40,~,~,~,~,750,5,2.00E+07,~,~,~,~,~,~,~,~,FADC readout scale=0x1,,"after unconfig, config, then start",
6677,system test,11/08/2010,,1200,physics,Nhit,40,~,~,~,~,750,5,2.00E+07,~,~,~,~,~,~,~,~,FADC readout scale=0x1,,"after unconfig, config, then start",
6678,system test,11/08/2010,,1000,physics,Nhit,40,~,~,~,~,750,5,2.00E+07,~,~,~,~,~,~,~,~,FADC readout scale=0x1,,VME crate restart,
6679,system test,11/08/2010,,800,FEEdiag,manual,~,~,~,~,~,750,5,2.00E+07,~,~,~,~,~,~,~,~,FADC readout scale=0x1,,VME crate restart,
6680,system test,11/08/2010,,800,FEEdiag,manual,~,~,~,~,~,750,5,2.00E+07,~,~,~,~,~,~,~,~,FADC readout scale=0x1,,VME crate restart,
6681,system test,11/08/2010,,1200,physics,Nhit,40,~,~,~,~,750,5,2.00E+07,~,~,~,~,~,~,~,~,FADC readout scale=0x1,,VME crate restart,
,,,,,,,,,,,,,,,,,,,,,,,,,,
